key,FTZ,JTZ
60000,人,人
60001,匕（妣）,匕（妣）
60002,尸/夷,尸/夷
60006,介,介
60008,疾,疾
60009,㐱,㐱
6000B,千,千
6000C,企,企
6000D,企,企
6000E,旨,旨
6000F,身,身
60010,孕,孕
60014,殷,殷
60016,失,失
60017,允,允
6001B,以,以
6001C,㠯（以）,㠯（以）
6001D,元,元
6001E,亟,亟
60020,尻,尻
6002C,哭,哭
6002E,镸,镸
60032,徵,徵
60034,長,长
60038,夌,夌
60039,耋,耋
6003C,老,老
6003F,瞽,瞽
60041,瞽,瞽
60043,失,失
60047,兌,兑
6004A,須,须
6004D,兒,儿
6004F,昷（殟）,昷（殟）
60053,昷（殟）,昷（殟）
60058,昷,昷
6005A,何,何
6005B,何,何
6005F,及,及
60061,臾,臾
60062,羌,羌
60065,羌,羌
6006E,从,从
6006F,比,比
60071,麗,丽
60072,并,并
60077,北,北
60079,非,非
6007A,非,非
6007D,化,化
6007E,競,競
6007F,競,競
60080,眾,众
60082,庶,庶
60083,鬥,鬥
60084,任,任
60085,伇,伇
60086,攸,攸
6008A,休,休
6008B,禦,禦
6008C,禦,禦
60095,冠,冠
60098,竟,竟
6009A,朊,朊
6009B,尾,尾
6009C,偪,偪
600A0,僕,僕
600A3,伊,伊
600A4,奏,奏
600B2,朊,朊
600BA,勹,勹
600BD,兄,兄
600D0,保,保
600E0,俔,伣
600E1,大,大
600E2,天,天
600E8,夫,夫
600EA,夨,夨
600F2,疑,疑
600F5,疑,疑
600F6,央,央
600FA,美,美
600FE,立,立
600FF,去,去
60101,亦,亦
60103,汏,汏
60104,汏,汏
60105,粦,粦
60106,太,太
60107,夾,夾
60108,夾,夾
6010A,因,因
6010B,因,因
6010D,昷,昷
6010E,昷,昷
60115,舞,舞
60116,舞,舞
6011A,蔡,蔡
6011D,垂,垂
60120,垂,垂
60126,異,异
60127,戴,戴
6012B,堇,堇
6012D,黑,黑
6012E,艱,艰
6012F,熯,熯
60139,竝,并
6013D,刖,刖
60145,疾,疾
6014F,髭,髭
60154,走,走
6015C,屰,屰
6015F,屰,屰
60160,逆,逆
60163,夸,夸
60164,扶,扶
6016D,亢,亢
60170,奚,奚
60176,卩,卩
6017B,巴,巴
6017C,邑,邑
6017E,祝,祝
6017F,祝,祝
60180,祝,祝
60184,祝,祝
60185,祝,祝
6018B,襄,
6018E,茍,茍
60199,令,令
6019A,若,若
6019B,匿,匿
6019F,即,即
601A1,即,即
601A5,既,既
601A7,鄉（饗）,鄉（饗）
601A8,既,既
601AB,欠,欠
601AC,㳄（羨）,㳄（羨）
601AD,捪,捪
601AF,吹,吹
601B0,吹,吹
601B6,御,御
601B7,御,御
601B8,午,午
601BA,禦,禦
601BB,妻,妻
601BE,服,服
601C1,印/抑,印/抑
601C5,伇,伇
601C9,邑,邑
601CA,邑,邑
601CB,祝,祝
601CD,叩,叩
601D5,承,承
601D7,粯,粯
601DA,身,身
601DD,堯,尧
601DF,丮,丮
601E1,夙,夙
